season,player_id,player_name,team,position_final,production_score,production_percentile_position,cap_number,cash_paid,draft_year,draft_round,draft_pick,draft_capital_bucket,years_since_drafted,estimated_contract_stage,is_likely_rookie_contract,production_rank_position,cost_rank_position,player_surplus_gap,surplus_percentile_position,player_surplus_rank,reg_snap_games,reg_offense_snaps,reg_avg_offense_snap_pct,reg_games_off_snap_50_plus,reg_games_off_snap_70_plus,playoff_snap_games,playoff_offense_snaps,playoff_avg_offense_snap_pct,played_playoffs,injury_report_weeks,out_weeks,practice_dnp_weeks,limited_practice_weeks,was_on_injury_report,is_v5_default_candidate,is_wr_case_study_candidate
2025,00-0040237,Tez Johnson,TB,WR,54.28911757502706,0.3258426966292135,0.870985,0.96394,2025.0,7.0,235.0,rounds_6_7,0.0,rookie_contract,True,61.0,86.0,25.0,0.8314606741573034,15.0,16,495.0,0.470625,7,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1
2025,00-0040735,Luther Burden III,CHI,WR,84.55814341538935,0.6179775280898876,1.993461,5.453844,2025.0,2.0,39.0,round_2,0.0,rookie_contract,True,35.0,58.0,23.0,0.8089887640449438,18.0,15,402.0,0.3966666666666666,5,1,2.0,92.0,0.5800000000000001,1,5.0,2.0,2.0,0.0,1.0,1,1
2025,00-0037239,Chris Olave,NO,WR,138.78112816185646,0.9101123595505618,6.131959,3.332982,2022.0,1.0,11.0,round_1,3.0,rookie_contract,True,9.0,30.0,21.0,0.797752808988764,19.0,16,887.0,0.843125,16,15,0.0,0.0,0.0,0,8.0,1.0,1.0,3.0,1.0,1,1
2025,00-0037816,Romeo Doubs,GB,WR,102.59547256009007,0.7303370786516854,3.576979,3.406,2022.0,4.0,132.0,rounds_4_5,3.0,rookie_contract,True,25.0,43.0,18.0,0.7808988764044944,20.0,16,780.0,0.775625,16,13,1.0,52.0,0.73,1,4.0,0.0,0.0,0.0,1.0,1,1
2025,00-0038618,Xavier Hutchinson,HOU,WR,54.934920907799494,0.33707865168539325,1.070925,1.03,2023.0,6.0,205.0,rounds_6_7,2.0,rookie_contract,True,60.0,78.0,18.0,0.7808988764044944,20.0,17,672.0,0.5747058823529412,12,3,2.0,108.0,0.75,1,0.0,0.0,0.0,0.0,0.0,1,1
2025,00-0037240,Jameson Williams,DET,WR,148.44272256089278,0.9213483146067416,7.42181,17.086154,2022.0,1.0,12.0,round_1,3.0,rookie_contract,True,8.0,25.0,17.0,0.7584269662921348,22.0,17,992.0,0.9017647058823528,17,17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1
2025,00-0039915,Ladd McConkey,LAC,WR,81.18522750449289,0.5842696629213483,2.271633,1.249327,2024.0,2.0,34.0,round_2,1.0,rookie_contract,True,38.0,55.0,17.0,0.7584269662921348,22.0,16,837.0,0.775,16,12,1.0,53.0,0.88,1,4.0,0.0,0.0,1.0,1.0,1,1
2025,00-0040124,Tetairoa McMillan,CAR,WR,114.48509608821286,0.797752808988764,5.078253,17.793012,2025.0,1.0,8.0,round_1,0.0,rookie_contract,True,19.0,35.0,16.0,0.7415730337078652,24.0,17,925.0,0.871764705882353,17,17,1.0,60.0,0.9,1,6.0,0.0,0.0,2.0,1.0,1,1
2025,00-0038619,Andrei Iosivas,CIN,WR,48.228240934587234,0.29213483146067415,1.069848,1.03,2023.0,6.0,206.0,rounds_6_7,2.0,rookie_contract,True,64.0,79.0,15.0,0.7303370786516854,25.0,17,851.0,0.7617647058823529,17,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1
2025,00-0036912,DeVonta Smith,PHI,WR,136.01954212163125,0.8876404494382022,7.52451,12.591,2021.0,1.0,10.0,round_1,4.0,possible_fifth_year_option,True,11.0,24.0,13.0,0.7078651685393258,26.0,17,888.0,0.8441176470588235,16,15,1.0,67.0,0.92,1,2.0,0.0,0.0,0.0,1.0,1,1
2025,00-0038124,Christian Watson,GB,WR,89.5377431172806,0.651685393258427,3.336665,7.215141,2022.0,2.0,34.0,round_2,3.0,rookie_contract,True,32.0,45.0,13.0,0.7078651685393258,26.0,10,418.0,0.6769999999999999,9,5,1.0,57.0,0.8,1,10.0,2.0,1.0,7.0,1.0,1,1
2025,00-0040129,Emeka Egbuka,TB,WR,86.5614994226421,0.6292134831460674,3.304133,10.696532,2025.0,1.0,19.0,round_1,0.0,rookie_contract,True,34.0,47.0,13.0,0.7078651685393258,26.0,17,886.0,0.776470588235294,17,11,0.0,0.0,0.0,0,4.0,0.0,0.0,2.0,1.0,1,1
2025,00-0038544,Quentin Johnston,LAC,WR,97.3900605425204,0.6966292134831461,3.869669,2.03989,2023.0,1.0,21.0,round_1,2.0,rookie_contract,True,28.0,40.0,12.0,0.6853932584269663,29.0,14,723.0,0.7685714285714286,14,10,1.0,46.0,0.77,1,6.0,0.0,0.0,3.0,1.0,1,1
2025,00-0040130,Jayden Higgins,HOU,WR,71.25768278479529,0.47191011235955055,2.127422,5.989688,2025.0,2.0,34.0,round_2,0.0,rookie_contract,True,48.0,57.0,9.0,0.6685393258426966,30.0,17,671.0,0.5723529411764706,11,3,2.0,97.0,0.67,1,0.0,0.0,0.0,0.0,0.0,1,1
2025,00-0037291,Jalen Nailor,MIN,WR,52.39058400597847,0.30337078651685395,1.145165,1.1,2022.0,6.0,191.0,rounds_6_7,3.0,rookie_contract,True,63.0,72.0,9.0,0.6685393258426966,30.0,17,653.0,0.6535294117647058,15,4,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,1,1
2025,00-0038997,Josh Downs,IND,WR,61.83588007382251,0.4044943820224719,1.505577,1.251858,2023.0,3.0,79.0,round_3,2.0,rookie_contract,True,54.0,62.0,8.0,0.6348314606741573,32.0,16,594.0,0.586875,13,2,0.0,0.0,0.0,0,7.0,1.0,1.0,0.0,1.0,1,1
2025,00-0040170,Elic Ayomanor,TEN,WR,38.404296503543975,0.16853932584269662,1.006454,1.505816,2025.0,4.0,136.0,rounds_4_5,0.0,rookie_contract,True,75.0,83.0,8.0,0.6348314606741573,32.0,16,787.0,0.805625,16,14,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,1.0,1,1
2025,00-0037238,Drake London,ATL,WR,108.730595332661,0.7640449438202247,6.851878,3.64152,2022.0,1.0,8.0,round_1,3.0,rookie_contract,True,22.0,29.0,7.0,0.5955056179775281,36.0,12,709.0,0.9066666666666666,12,11,0.0,0.0,0.0,0,11.0,4.0,5.0,4.0,1.0,1,1
2025,00-0037261,Khalil Shakir,BUF,WR,73.59672388869093,0.4943820224719101,2.586788,8.1,2022.0,5.0,148.0,rounds_4_5,3.0,rookie_contract,True,46.0,53.0,7.0,0.5955056179775281,36.0,16,635.0,0.5975,12,3,2.0,95.0,0.675,1,3.0,0.0,1.0,0.0,1.0,1,1
2025,00-0038393,Dontayvion Wicks,GB,WR,45.052123921150574,0.24719101123595505,1.105636,1.03,2023.0,5.0,159.0,rounds_4_5,2.0,rookie_contract,True,68.0,74.0,6.0,0.5674157303370787,39.0,14,408.0,0.4464285714285714,5,1,0.0,0.0,0.0,0,14.0,2.0,3.0,8.0,1.0,1,1
2025,00-0036613,Jaylen Waddle,MIA,WR,116.76881092795584,0.8202247191011236,8.020709,16.05,2021.0,1.0,6.0,round_1,4.0,possible_fifth_year_option,True,17.0,22.0,5.0,0.550561797752809,41.0,16,722.0,0.77625,15,14,0.0,0.0,0.0,0,8.0,0.0,0.0,2.0,1.0,1,1
