season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence
2021,BAL,00-0034796,Lamar Jackson,QB,QB,2882,16,13,38,767,2,0,0,0,0,18.436700874048647,15.515112108310792,0.0,33.95181298235944,103.62181298235944,Lamar Jackson,QB,3.013708,1.77159,1.77159,1.77159,True,False,QB,True,normal_sample,contract_matched,high
2021,BAL,00-0035249,Josh Oliver,TE,TE,0,0,0,0,0,0,9,66,0,15,0.0,0.0,-3.329060616903007,-3.329060616903007,2.2209393830969932,Josh Oliver,TE,0.88144,0.88144,0.88144,0.0,True,False,TE,False,low_sample,contract_matched,low
2021,BAL,00-0035662,Marquise Brown,WR,WR,0,0,0,0,5,0,91,1008,6,146,0.0,0.9444636923726648,11.889530107876272,12.833993800248937,104.23399380024894,Marquise Brown,WR,3.214729,1.566576,1.566576,1.566576,True,False,WR,True,normal_sample,contract_matched,high
2021,BAL,00-0035703,Miles Boykin,WR,WR,0,0,0,0,0,0,1,6,0,1,0.0,0.0,0.08530826517380774,0.08530826517380774,0.6353082651738078,Miles Boykin,WR,1.064232,0.85,0.85,,True,False,WR,False,low_sample,contract_matched,low
2021,BAL,00-0035993,Tyler Huntley,QB,QB,1081,3,4,18,294,2,0,0,0,0,-30.697212040843034,15.720750949055612,0.0,-14.976461091787423,10.033538908212579,Tyler Huntley,QB,0.78,0.78,0.78,0.0,True,False,QB,True,normal_sample,contract_matched,high
2021,BAL,00-0036133,James Proche,WR,WR,0,0,0,0,0,0,16,202,0,20,0.0,0.0,14.315364896436222,14.315364896436222,28.415364896436223,James Proche,WR,0.822025,0.78,0.78,,True,False,WR,False,low_sample,contract_matched,low
2021,BAL,00-0036331,Devin Duvernay,WR,WR,0,0,0,0,50,0,33,272,2,47,0.0,2.461163314874284,7.448230200625511,9.909393515499795,40.259393515499795,Devin Duvernay,WR,1.039958,0.817992,0.817992,0.0,True,False,WR,True,normal_sample,contract_matched,high
2021,BAL,00-0036457,Ty'Son Williams,RB,RB,0,0,0,0,185,1,9,84,0,12,0.0,-0.7304332898347639,1.1681355086000886,0.4377022187653248,19.137702218765323,Ty Williams,RB,0.66,0.66,0.66,,True,False,RB,False,low_sample,contract_matched,low
2021,BAL,00-0036550,Rashod Bateman,WR,WR,0,0,0,0,0,0,46,515,1,68,0.0,0.0,14.884151672314442,14.884151672314442,55.134151672314445,Rashod Bateman,WR,2.290802,7.183208,0.66,0.66,True,False,WR,True,normal_sample,contract_matched,high
2021,BAL,00-0036582,Nate McCrary,RB,RB,0,0,0,0,-1,0,0,0,0,0,0.0,-0.7256364240311086,0.0,-0.7256364240311086,-0.7756364240311087,Nate McCrary,RB,0.165467,0.165467,0.1656,,True,False,RB,False,low_sample,contract_matched,low
2021,BAL,00-0036630,Tylan Wallace,WR,WR,0,0,0,0,0,0,2,23,0,6,0.0,0.0,-2.7527126162312925,-2.7527126162312925,-1.1027126162312924,Tylan Wallace,WR,0.831339,1.345356,0.66,0.0,True,False,WR,False,low_sample,contract_matched,low
2021,BUF,00-0027685,Emmanuel Sanders,WR,WR,0,0,0,0,31,0,42,626,4,72,0.0,2.025341064610984,24.830480036758914,26.855821101369898,82.20582110136989,Emmanuel Sanders,WR,4.616176,6.0,2.8,3.15,True,False,WR,True,normal_sample,contract_matched,high
2021,BUF,00-0028063,Taiwan Jones,RB,RB,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Taiwan Jones,RB,1.667647,1.75,1.1,0.4,True,False,RB,False,low_sample,contract_matched,low
2021,BUF,00-0029000,Cole Beasley,WR,WR,0,0,0,0,0,0,82,693,1,112,-0.47759081999538466,0.0,6.190129305082187,5.712538485086802,63.8625384850868,Cole Beasley,WR,7.570588,5.9,4.7,0.5,True,False,WR,True,normal_sample,contract_matched,high
2021,BUF,00-0031588,Stefon Diggs,WR,WR,0,0,0,1,0,0,103,1225,10,164,-0.836327348719351,0.0,31.989855666641777,31.153528317922426,147.90352831792242,Stefon Diggs,WR,6.378954,13.755882,0.99,0.0,True,False,WR,True,normal_sample,contract_matched,high
