candidate_row_id,n_matched_controls,match_distance_avg,match_distance_min,match_distance_max,match_tier,candidate_season,candidate_player_id,candidate_player_name,candidate_team,candidate_position_final,candidate_draft_year,candidate_draft_round,candidate_draft_pick,candidate_draft_capital_bucket,candidate_years_since_drafted,candidate_estimated_contract_stage,candidate_production_score,candidate_production_percentile_position,candidate_cap_number,candidate_cash_paid,candidate_production_rank_position,candidate_cost_rank_position,candidate_player_surplus_gap,candidate_surplus_percentile_position,candidate_player_surplus_rank,candidate_reg_snap_games,candidate_reg_offense_snaps,candidate_reg_avg_offense_snap_pct,candidate_reg_games_off_snap_50_plus,candidate_reg_games_off_snap_70_plus,candidate_playoff_snap_games,candidate_playoff_offense_snaps,candidate_playoff_avg_offense_snap_pct,candidate_appeared_next_year,matched_control_appeared_next_year_mean,candidate_primary_v5_hit,matched_control_primary_v5_hit_mean,candidate_secondary_v5_hit,matched_control_secondary_v5_hit_mean,candidate_retained_positive_surplus,matched_control_retained_positive_surplus_mean,candidate_improved_production_score,matched_control_improved_production_score_mean,candidate_improved_production_percentile,matched_control_improved_production_percentile_mean,candidate_next_year_top_half_position,matched_control_next_year_top_half_position_mean,candidate_next_year_meaningful_regular_role,matched_control_next_year_meaningful_regular_role_mean,lift_appeared_next_year,lift_primary_v5_hit,lift_secondary_v5_hit,lift_retained_positive_surplus,lift_improved_production_score,lift_improved_production_percentile,lift_next_year_top_half_position,lift_next_year_meaningful_regular_role
163,1,0.4623703222298039,0.4623703222298039,0.4623703222298039,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035261,Tony Pollard,DAL,RB,2019.0,4.0,128.0,rounds_4_5,2.0,rookie_contract,88.31753346893544,0.7941176470588235,1.017582,0.85,15.0,48.0,33.0,0.9852941176470588,2.0,15,374.0,0.348,0,0,1.0,25.0,0.35,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167,1,0.3594080114972031,0.3594080114972031,0.3594080114972031,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035537,Ty Johnson,NYJ,RB,2019.0,6.0,186.0,rounds_6_7,2.0,rookie_contract,46.01304652492484,0.3823529411764705,0.85,0.85,43.0,52.0,9.0,0.6764705882352942,23.0,16,409.0,0.3975,4,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1,0.4438167725157768,0.4438167725157768,0.4438167725157768,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035640,DK Metcalf,SEA,WR,2019.0,2.0,64.0,round_2,2.0,rookie_contract,132.2868501506222,0.8137254901960784,1.250741,0.911914,20.0,68.0,48.0,0.9362745098039216,7.0,17,820.0,0.8352941176470587,17,16,0.0,0.0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,1.0,0,1.0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
170,1,0.2855039729614214,0.2855039729614214,0.2855039729614214,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035644,Noah Fant,DEN,TE,2019.0,1.0,20.0,round_1,2.0,rookie_contract,77.73597148736212,0.6944444444444444,3.433834,1.639612,12.0,18.0,6.0,0.7222222222222222,11.0,16,843.0,0.844375,16,16,0.0,0.0,0.0,1,1.0,1,0.0,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
171,1,0.9679429215401082,0.9679429215401082,0.9679429215401082,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035657,Damien Harris,NE,RB,2019.0,3.0,87.0,round_3,2.0,rookie_contract,109.99397894930628,0.8823529411764706,1.071534,0.85,9.0,44.0,35.0,1.0,1.0,15,407.0,0.4166666666666667,3,0,1.0,17.0,0.27,1,1.0,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
172,1,1.0029226351947746,1.0029226351947746,1.0029226351947746,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035659,Terry McLaurin,WAS,WR,2019.0,3.0,76.0,round_3,2.0,rookie_contract,100.45499510905816,0.6568627450980392,1.100805,0.85,36.0,72.0,36.0,0.8186274509803921,19.0,17,1010.0,0.8988235294117647,16,16,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
173,1,0.7522794740513715,0.7522794740513715,0.7522794740513715,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035662,Marquise Brown,BAL,WR,2019.0,1.0,25.0,round_1,2.0,rookie_contract,104.23399380024894,0.696078431372549,3.214729,1.566576,32.0,41.0,9.0,0.5980392156862745,42.0,16,924.0,0.795,16,13,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,1,0.6194985343971922,0.6194985343971922,0.6194985343971922,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035664,Darrell Henderson,LA,RB,2019.0,3.0,70.0,round_3,2.0,rookie_contract,65.31334067132045,0.5735294117647058,1.151496,0.878832,30.0,38.0,8.0,0.6544117647058824,24.0,12,507.0,0.6658333333333334,10,6,1.0,22.0,0.32,0,1.0,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0,0,0.0,0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
175,1,0.5402834684163368,0.5402834684163368,0.5402834684163368,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035676,A.J. Brown,TEN,WR,2019.0,2.0,51.0,round_2,2.0,rookie_contract,107.82779397802788,0.7450980392156863,1.541555,1.008852,27.0,61.0,34.0,0.803921568627451,21.0,13,604.0,0.6961538461538462,12,8,1.0,46.0,0.87,1,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
176,1,0.828340510089412,0.828340510089412,0.828340510089412,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035685,David Montgomery,CHI,RB,2019.0,3.0,73.0,round_3,2.0,rookie_contract,67.49342303813435,0.6176470588235294,1.111577,0.850032,27.0,40.0,13.0,0.7352941176470589,19.0,13,642.0,0.7515384615384615,13,9,0.0,0.0,0.0,1,1.0,1,0.0,0,1.0,0,1.0,1,0.0,1,0.0,1,0.0,1,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0
