season,player_id,position_final,player_name,team,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,cap_number,cash_paid,has_contract_match,has_missing_contract,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,draft_year,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,reg_snap_games,reg_teams_with_snaps,reg_offense_snaps,reg_defense_snaps,reg_special_teams_snaps,reg_avg_offense_snap_pct,reg_max_offense_snap_pct,reg_games_off_snap_50_plus,reg_games_off_snap_70_plus,reg_avg_defense_snap_pct,reg_max_defense_snap_pct,reg_games_def_snap_50_plus,reg_avg_st_snap_pct,reg_max_st_snap_pct,playoff_snap_games,playoff_teams_with_snaps,playoff_offense_snaps,playoff_defense_snaps,playoff_special_teams_snaps,playoff_avg_offense_snap_pct,playoff_max_offense_snap_pct,playoff_games_off_snap_50_plus,playoff_games_off_snap_70_plus,playoff_avg_defense_snap_pct,playoff_max_defense_snap_pct,playoff_games_def_snap_50_plus,playoff_avg_st_snap_pct,playoff_max_st_snap_pct,injury_report_weeks,out_weeks,doubtful_weeks,questionable_weeks,practice_dnp_weeks,limited_practice_weeks,unique_primary_injury_weeks,has_reg_snap_data,has_playoff_snap_data,has_injury_source_for_season,injury_merge_matched,played_regular_season,played_playoffs,was_on_injury_report
2021,00-0030108,TE,Ryan Griffin,NYJ,0,0,0,0,0,0,27,261,2,42,0.0,0.0,3.003385997072008,3.003385997072008,28.80338599707201,2.740588,2.913411,True,False,True,normal_sample,contract_matched,high,2013.0,6.0,201.0,8.0,rounds_6_7,second_contract_or_later,False,31.0,23.0,-8.0,28.0,14,1,583.0,0.0,193.0,0.635,0.91,11,5,0.0,0.0,0,0.5035714285714286,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030181,TE,Jack Doyle,IND,0,0,0,0,0,0,29,302,3,43,0.0,0.0,11.835966540664888,11.835966540664888,43.18596654066489,5.85,5.1,True,False,True,normal_sample,contract_matched,high,,,,,undrafted_or_unmatched,undrafted_or_unmatched,False,24.0,9.0,-15.0,33.0,17,1,643.0,0.0,24.0,0.5823529411764706,0.79,14,5,0.0,0.0,0,0.051176470588235295,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030279,WR,Keenan Allen,LAC,0,0,0,0,0,0,106,1138,6,157,0.5595444383071735,0.0,30.701160211185925,31.2607046494931,132.6607046494931,15.7,13.0,True,False,True,normal_sample,contract_matched,high,2013.0,3.0,76.0,8.0,round_3,second_contract_or_later,False,18.0,6.0,-12.0,66.0,16,1,972.0,0.0,0.0,0.8675,0.98,16,16,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030288,RB,Rex Burkhead,HOU,0,0,0,0,427,3,25,186,0,32,-0.4931206500623375,-5.235464330791729,3.539262187893489,-2.189322792960577,43.710677207039424,1.985294,2.235294,True,False,True,normal_sample,contract_matched,high,2013.0,6.0,190.0,8.0,rounds_6_7,second_contract_or_later,False,47.0,26.0,-21.0,58.0,16,1,378.0,0.0,80.0,0.375,0.7,5,1,0.0,0.0,0,0.19125,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030431,WR,Robert Woods,LA,0,0,0,0,46,1,45,556,4,69,0.0,1.9396912073134445,30.618317661937613,32.558008869251054,88.90800886925105,5.875,12.5,True,False,True,normal_sample,contract_matched,high,2013.0,2.0,41.0,8.0,round_2,second_contract_or_later,False,44.0,21.0,-23.0,77.0,9,1,543.0,0.0,5.0,0.9222222222222223,1.0,9,9,0.0,0.0,0,0.018888888888888886,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030506,TE,Travis Kelce,KC,0,0,0,0,3,1,92,1125,9,134,0.0,0.345061281172093,50.8031916963652,51.14825297753729,160.5482529775373,7.605882,13.25,True,False,True,normal_sample,contract_matched,high,2013.0,3.0,63.0,8.0,round_3,second_contract_or_later,False,2.0,2.0,0.0,16.0,16,1,926.0,0.0,0.0,0.82125,0.91,16,16,0.0,0.0,0,0.0,0.0,3.0,1.0,176.0,0.0,0.0,0.8366666666666666,0.9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0030513,RB,Latavius Murray,BAL,0,0,0,0,501,6,10,75,0,13,0.0,-6.842852562328158,-0.5330616743885912,-7.375914236716749,41.92408576328325,1.075,1.075,True,False,True,normal_sample,contract_matched,high,2013.0,6.0,181.0,8.0,rounds_6_7,second_contract_or_later,False,48.0,43.0,-5.0,41.0,14,1,378.0,0.0,0.0,0.37714285714285717,0.62,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030564,WR,DeAndre Hopkins,ARI,0,0,0,0,0,0,42,572,8,64,0.0,0.0,42.37796969614686,42.37796969614686,105.47796969614686,12.5,13.75,True,False,True,normal_sample,contract_matched,high,2013.0,1.0,27.0,8.0,round_1,second_contract_or_later,False,31.0,10.0,-21.0,76.0,10,1,560.0,0.0,0.0,0.8220000000000001,0.97,9,9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030578,RB,Cordarrelle Patterson,ATL,0,0,0,0,618,6,52,548,5,69,-0.5996399439172819,-15.485663559607929,19.0910259758063,3.00572247228109,107.3057224722811,3.0,3.0,True,False,True,normal_sample,contract_matched,high,2013.0,1.0,29.0,8.0,round_1,second_contract_or_later,False,12.0,17.0,5.0,29.0,16,1,473.0,2.0,75.0,0.47625,0.73,7,1,0.00125,0.01,0,0.18375,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0031235,WR,Odell Beckham Jr.,LA,0,0,0,0,0,0,27,305,5,48,0.0,0.0,7.129921804171007,7.129921804171007,44.129921804171005,0.85,4.75,True,False,True,normal_sample,contract_matched,high,2014.0,1.0,12.0,7.0,round_1,second_contract_or_later,False,79.0,89.0,10.0,41.0,14,2,666.0,0.0,0.0,0.7178571428571429,0.98,13,9,0.0,0.0,0,0.0,0.0,4.0,1.0,196.0,0.0,0.0,0.7,0.92,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
