season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2022,CLE,00-0033923,Kareem Hunt,RB,RB,0,0,0,0,468,3,35,210,1,44,0.0,-11.557620754056018,-2.4749615233686106,-14.032582277424629,40.617417722575375,Kareem Hunt,RB,6.25,6.25,1.35,1.0,True,False,RB,True,normal_sample,contract_matched,high,47.0,7.0,-40.0,63.0,Major overpay
2022,CLE,00-0033885,David Njoku,TE,TE,0,0,0,0,-8,0,58,628,4,80,0.0,-2.48257483902853,24.657573101232835,22.174998262204305,79.67499826220431,David Njoku,TE,3.328,12.5,1.035,1.035,True,False,TE,True,normal_sample,contract_matched,high,6.0,17.0,11.0,8.5,Strong bargain
2022,CLE,00-0036232,Harrison Bryant,TE,TE,0,0,0,0,8,0,31,239,1,42,0.0,0.9134245255263522,2.8788764024459397,3.792300927972292,26.892300927972293,Harrison Bryant,TE,1.087258,0.895,0.895,0.0,True,False,TE,True,normal_sample,contract_matched,high,33.0,25.0,-8.0,27.5,Negative value
2022,CLE,00-0036233,Donovan Peoples-Jones,WR,WR,0,0,0,0,2,0,61,839,3,96,0.0,-0.3847800234798342,18.412429526132733,18.0276495026529,84.3276495026529,Donovan Peoples-Jones,WR,0.941652,0.895,0.895,,True,False,WR,True,normal_sample,contract_matched,high,42.0,88.0,46.0,5.5,Major bargain
2022,CLE,00-0031544,Amari Cooper,WR,WR,0,0,1,0,0,0,78,1160,9,132,-4.980502444552258,0.0,52.517987040827116,47.53748459627486,150.03748459627485,Amari Cooper,WR,4.896,20.0,1.12,1.12,True,False,WR,True,normal_sample,contract_matched,high,10.0,33.0,23.0,24.5,Major bargain
2022,DET,00-0033106,Jared Goff,QB,QB,4438,29,7,23,73,0,1,5,0,1,102.01767571744924,-16.04031808448769,-0.10016044188523665,85.8771971910763,172.6571971910763,Jared Goff,QB,31.15,26.15,10.65,25.5,True,False,QB,True,normal_sample,contract_matched,high,6.0,4.0,-2.0,24.0,Fair value
2022,DET,00-0036275,D'Andre Swift,RB,RB,0,0,0,0,542,5,48,389,3,70,0.0,6.569174910386924,8.104379366221766,14.67355427660869,97.2235542766087,D'Andre Swift,RB,2.328796,1.386266,1.386266,0.928121,True,False,RB,True,normal_sample,contract_matched,high,12.0,24.0,12.0,13.5,Strong bargain
2022,DET,00-0033948,Jamaal Williams,RB,RB,0,0,0,0,1066,17,12,73,0,16,0.0,-24.973520815387733,-1.974092585442122,-26.947613400829855,84.00238659917015,Jamaal Williams,RB,4.375,4.0,3.75,1.0,True,False,RB,True,normal_sample,contract_matched,high,16.0,13.0,-3.0,42.0,Negative value
2022,DET,00-0035229,T.J. Hockenson,TE,TE,0,0,0,0,0,0,26,395,3,43,0.0,0.0,-0.7743032667057124,-0.7743032667057124,34.475696733294285,,,,,,,False,True,TE,True,normal_sample,missing_contract,low,30.0,35.0,5.0,14.0,Positive value
2022,DET,00-0036963,Amon-Ra St. Brown,WR,WR,0,0,0,0,95,0,106,1161,6,146,0.0,4.856911282578949,57.19009879805758,62.04701008063653,169.34701008063655,Amon-Ra St. Brown,WR,1.021315,0.825,0.825,0.0,True,False,WR,True,normal_sample,contract_matched,high,8.0,83.0,75.0,1.0,Major bargain
