season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank
2022,CAR,1304,-45.74314822536958,-0.0352412544109164,0.4198767334360554,1456,-22.05466498685808,-0.0152627439355419,20.0,17.0,37.0,18.5,149.79213,207.468494,85.650016,61.028971,74,28.0,24.0,14.5,5.0,9.5,Positive value,6.0
2022,SF,1363,53.34043216624421,0.0393656325950141,0.459040590405904,1347,-151.94528620160042,-0.1135614994032888,6.0,1.0,7.0,1.5,184.516213,213.973591,106.404156,51.623159,78,10.0,19.0,31.5,23.0,8.5,Positive value,7.0
2022,DAL,1444,24.00278241854921,0.0167266776435882,0.4425087108013937,1456,-122.37869223876328,-0.08451567143561,10.0,3.0,13.0,5.0,182.588607,188.07604,117.014414,48.035237,85,13.0,27.0,28.0,20.0,8.0,Positive value,8.0
2022,LV,1380,-1.5431895589999876,-0.0011231365058224,0.4286754002911208,1403,21.91514311846347,0.0157436372977467,13.0,28.0,41.0,23.0,149.581882,219.914061,115.919315,67.892066,81,29.0,15.0,10.0,4.0,6.0,Positive value,9.5
2022,NYG,1429,33.83334549273659,0.0237927886728105,0.4395218002812939,1420,53.11071156417283,0.0376671713221083,8.0,31.0,39.0,21.0,150.469918,173.970546,85.035411,71.082171,82,27.0,30.0,12.0,6.0,6.0,Positive value,9.5
2022,ATL,1322,-2.9710131105201887,-0.0022644917000916,0.4489329268292683,1389,26.66965136404264,0.0192978663994519,14.0,29.0,43.0,25.5,118.839327,145.826819,74.851686,22.862687,84,31.0,31.0,7.5,2.0,5.5,Positive value,11.0
2022,CLE,1434,-7.326313224977618,-0.0051268811931263,0.4345696291112666,1371,12.42817130647486,0.009145085582395,15.0,24.0,39.0,21.0,151.322572,257.797731,85.722515,44.518822,81,26.0,5.0,12.0,7.0,5.0,Positive value,12.0
2022,DET,1421,67.35490212004268,0.0477355791070465,0.4500354358610914,1406,43.96389394254268,0.031425227978944,4.0,30.0,34.0,14.0,180.296816,219.886916,103.002324,58.620181,82,17.0,16.0,19.0,16.0,3.0,Fair value,13.0
2022,HOU,1335,-174.03929988391383,-0.1306601350479833,0.3783783783783784,1476,-27.90313521887996,-0.0190855918049794,31.0,13.0,44.0,27.5,134.140789,182.838649,73.37994499999999,30.814621,79,30.0,29.0,5.5,3.0,2.5,Fair value,14.0
2022,CHI,1303,-57.096725732185085,-0.0439543693088414,0.4003079291762894,1352,98.96568123863987,0.0739101428219864,21.0,32.0,53.0,32.0,112.256869,115.642718,93.258894,36.517181,81,32.0,32.0,1.0,1.0,0.0,Fair value,15.5
2022,KC,1411,171.10055573791342,0.1220403393280409,0.4971469329529244,1428,13.15342989446355,0.0092629787989179,1.0,25.0,26.0,8.0,189.757091,212.436914,88.902378,94.402359,75,8.0,21.0,25.0,25.0,0.0,Fair value,15.5
2022,TB,1499,-83.12180333275015,-0.0556743491846953,0.4226389819156061,1409,-26.043525712506536,-0.0186291314109488,23.0,14.0,37.0,18.5,178.117264,248.512141,108.741592,61.244777,76,18.0,9.0,14.5,15.0,-0.5,Fair value,17.0
2022,CIN,1371,55.325260410023695,0.0407102725607238,0.4569536423841059,1298,-60.73493035663881,-0.0469358039850377,5.0,7.0,12.0,4.0,195.608113,187.293956,122.740342,38.43939,77,3.0,28.0,29.0,30.0,-1.0,Fair value,18.5
2022,WAS,1473,-79.6308342695192,-0.0543555182727093,0.4034129692832764,1319,-53.8804494817261,-0.0411301141081878,22.0,8.0,30.0,10.0,186.457339,199.030366,122.663734,70.451878,82,9.0,26.0,23.0,24.0,-1.0,Fair value,18.5
2022,NE,1330,-95.81042834179584,-0.0724190690414178,0.4013605442176871,1426,-125.83183252529965,-0.0888642885065675,26.0,2.0,28.0,9.0,190.963265,200.549974,113.816407,55.114041,80,6.0,25.0,24.0,27.0,-3.0,Fair value,20.0
2022,JAX,1389,40.27222953276125,0.02918277502374,0.4550724637681159,1425,-30.18161088850328,-0.0212996548260432,7.0,12.0,19.0,6.0,199.003501,248.002709,113.459365,62.049342,76,2.0,10.0,27.0,31.0,-4.0,Negative value,21.0
2022,GB,1354,-7.228574041938515,-0.0053824080729251,0.4512285927029039,1296,-2.101357867318729,-0.0016289595870687,16.0,20.0,36.0,17.0,182.902103,268.002999,71.053558,14.058528,75,12.0,2.0,16.0,21.0,-5.0,Negative value,22.0
2022,MIN,1487,-22.915131102975316,-0.0154936653840265,0.4354293441514537,1446,2.780019145963343,0.0019345992665019,17.0,22.0,39.0,21.0,181.539554,207.736933,100.191256,55.295002,79,14.0,23.0,12.0,19.0,-7.0,Negative value,23.0
2022,DEN,1436,-115.8051769062818,-0.081039312040785,0.3813855843247026,1434,-25.499600254375352,-0.0179070226505444,28.0,16.0,44.0,27.5,175.909273,225.816085,125.812347,73.54172799999999,89,20.0,13.0,5.5,13.0,-7.5,Negative value,24.5
2022,NYJ,1404,-123.64940118581345,-0.0886375635740598,0.3942652329749104,1408,-86.50944200142182,-0.0617924585724441,29.0,4.0,33.0,11.5,194.176709,251.937404,120.044352,71.847926,79,4.0,7.0,21.5,29.0,-7.5,Negative value,24.5
2022,LA,1311,-99.37011129335552,-0.0763797934614569,0.404304381245196,1348,-3.438418218587269,-0.0025640702599457,27.0,19.0,46.0,30.0,173.921584,272.258136,108.300606,46.528021,84,22.0,1.0,3.0,11.0,-8.0,Negative value,26.5
2022,PIT,1438,-24.468140442808156,-0.0171225615415032,0.4366689993002099,1330,15.952981257409787,0.0120673080615807,18.0,27.0,45.0,29.0,173.991044,222.168535,109.573324,34.675498000000005,78,21.0,14.0,4.0,12.0,-8.0,Negative value,26.5
2022,MIA,1327,25.52525618326362,0.0193373152903512,0.4325757575757575,1430,16.441643929603778,0.0115786224856364,9.0,26.0,35.0,16.0,191.007461,250.400081,112.811523,75.986209,83,5.0,8.0,17.0,28.0,-11.0,Major underperformance,28.0
2022,LAC,1483,-27.15859618159242,-0.0183876751398729,0.4204468517264725,1318,-23.54531313837201,-0.0180147766934751,19.0,15.0,34.0,14.0,201.2051,254.117406,144.730314,89.102555,83,1.0,6.0,19.0,32.0,-13.0,Major underperformance,29.0
2022,TEN,1327,-86.9986096731687,-0.066158638534729,0.417490494296578,1442,-13.208636531312766,-0.0091918138700854,25.0,18.0,43.0,25.5,184.169996,226.678887,140.447418,71.839558,87,11.0,12.0,7.5,22.0,-14.5,Major underperformance,30.0
