season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,position_final,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2021,BUF,00-0036251,Zack Moss,RB,RB,0,0,0,0,345,4,23,197,1,32,0.0,-9.730604019184575,-2.7341552287912223,-12.464759247975797,35.3852407520242,Zack Moss,RB,1.048256,0.819651,0.789651,0.0,RB,55.0,46.0,-9.0,45.0,Negative value
2021,CAR,00-0032104,Ameer Abdullah,RB,RB,0,0,0,0,136,0,35,272,1,49,0.0,-9.849366254712908,-6.634700584049719,-16.48406683876263,15.665933161237373,Ameer Abdullah,RB,0.566667,0.66,0.99,0.0,RB,66.0,63.0,-3.0,39.5,Negative value
2021,CAR,00-0032688,Robbie Chosen,WR,WR,0,0,0,0,36,0,53,519,5,110,0.0,2.224925854592584,-28.59433002285859,-26.369404168266005,29.630595831734,Robbie Chosen,WR,8.826666,12.5,0.99,0.99,WR,95.0,13.0,-82.0,104.0,Major overpay
2021,CAR,00-0033280,Christian McCaffrey,RB,RB,0,0,0,0,442,1,37,343,1,41,0.0,1.7780662637261173,21.083400368283037,22.861466632009154,77.36146663200915,Christian McCaffrey,RB,6.8995,8.2375,0.99,0.99,RB,20.0,5.0,-15.0,52.0,Major overpay
2021,CAR,00-0034827,DJ Moore,WR,WR,0,0,0,0,48,0,93,1157,4,163,0.0,7.407705761317629,9.491507973460937,16.899213734778566,112.39921373477857,D.J. Moore,WR,3.554509,2.003361,2.003361,1.702856,WR,25.0,36.0,11.0,41.5,Strong bargain
2021,CAR,00-0034869,Sam Darnold,QB,QB,2527,9,13,35,222,5,0,0,0,0,-76.71357971897748,3.878886218132827,0.0,-72.83469350084465,-38.21469350084465,Sam Darnold,QB,4.774685,4.774685,0.92,4.604685,QB,35.0,26.0,-9.0,27.0,Negative value
2021,CAR,00-0036555,Chuba Hubbard,RB,RB,0,0,0,0,612,5,25,174,1,37,0.0,-23.95744014318916,-10.226984497699739,-34.1844246408889,29.365575359111105,Chuba Hubbard,RB,0.838293,1.373172,0.66,0.0,RB,59.0,56.0,-3.0,39.5,Negative value
2021,CHI,00-0027973,Andy Dalton,QB,QB,1515,8,9,18,76,0,0,0,0,0,-30.054053774520156,-0.7613289881432483,0.0,-30.815382762663404,-18.365382762663405,Andy Dalton,QB,5.0,10.0,2.5,0.0,QB,32.0,24.5,-7.5,25.0,Negative value
2021,CHI,00-0030068,Marquise Goodwin,WR,WR,0,0,0,0,-1,0,20,313,1,40,0.0,-1.2417586655938067,11.87448647992749,10.632727814333684,34.232727814333686,Marquise Goodwin,WR,0.9875,1.2125,1.075,0.2125,WR,90.0,77.0,-13.0,69.5,Major overpay
2021,CHI,00-0031428,Allen Robinson,WR,WR,0,0,0,0,0,0,38,410,1,66,0.0,0.0,9.734412072468036,9.734412072468036,42.73441207246803,Allen Robinson,WR,17.98,17.98,17.88,17.88,WR,83.0,2.0,-81.0,103.0,Major overpay
