threshold,group_model,position_final,players_model,appeared_next_year_model,hits_model,avg_surplus_gap_model,avg_next_surplus_gap_model,avg_production_score_model,avg_next_production_score_model,appearance_rate_model,hit_rate_model,group_baseline,players_baseline,appeared_next_year_baseline,hits_baseline,avg_surplus_gap_baseline,avg_next_surplus_gap_baseline,avg_production_score_baseline,avg_next_production_score_baseline,appearance_rate_baseline,hit_rate_baseline,hit_rate_lift,appearance_rate_lift,next_surplus_gap_lift,next_production_score_lift
5,model_candidates,TE,33,29,19,15.272727272727273,4.275862068965517,87.76907485735235,77.77331581424124,0.8787878787878788,0.5757575757575758,not_flagged_baseline,31,20,17,-4.483870967741935,2.75,44.675625198922184,70.516599164804,0.6451612903225806,0.5483870967741935,0.027370478983382296,0.23362658846529816,1.525862068965517,7.256716649437237
5,model_candidates,WR,126,106,77,31.246031746031747,11.971698113207546,114.0608849886468,107.45399279099475,0.8412698412698413,0.6111111111111112,not_flagged_baseline,77,47,34,-17.753246753246753,-3.0,51.66767276797656,90.8863014777186,0.6103896103896104,0.44155844155844154,0.16955266955266962,0.2308802308802309,14.971698113207546,16.567691313276143
10,model_candidates,QB,24,23,16,17.25,7.6521739130434785,177.2580196433979,147.98848715964974,0.9583333333333334,0.6666666666666666,not_flagged_baseline,45,34,22,-3.3333333333333335,-0.4117647058823529,30.27279392701507,84.37458275549666,0.7555555555555555,0.4888888888888889,0.17777777777777776,0.20277777777777783,8.063938618925832,63.613904404153075
10,model_candidates,RB,49,41,23,22.877551020408163,4.170731707317073,94.83913910987,74.89486364645745,0.8367346938775511,0.46938775510204084,not_flagged_baseline,75,50,37,-7.213333333333333,-1.9,52.14493239230588,78.18486875300731,0.6666666666666666,0.49333333333333335,-0.023945578231292508,0.17006802721088443,6.070731707317073,-3.290005106549856
10,model_candidates,TE,27,24,16,17.074074074074073,3.9166666666666665,91.45290180486624,78.12258688941074,0.8888888888888888,0.5925925925925926,not_flagged_baseline,37,25,20,-2.5945945945945947,3.4,48.9755541277791,71.63264226252872,0.6756756756756757,0.5405405405405406,0.05205205205205199,0.21321321321321318,0.5166666666666666,6.489944626882021
10,model_candidates,WR,114,95,69,33.833333333333336,12.473684210526315,117.04544467338977,107.40644850620369,0.8333333333333334,0.6052631578947368,not_flagged_baseline,89,58,42,-14.460674157303371,-0.9827586206896551,56.25732156109282,94.10632408980807,0.651685393258427,0.47191011235955055,0.1333530455351863,0.18164794007490637,13.45644283121597,13.300124416395619
15,model_candidates,QB,13,13,9,21.307692307692307,11.538461538461538,191.17797229734953,160.44914418535808,1.0,0.6923076923076923,not_flagged_baseline,56,44,29,-0.23214285714285715,0.2727272727272727,55.91347425520864,95.15073054429944,0.7857142857142857,0.5178571428571429,0.17445054945054939,0.2142857142857143,11.265734265734265,65.29841364105864
15,model_candidates,RB,36,30,18,26.97222222222222,7.733333333333333,94.74696903958535,74.7403290834987,0.8333333333333334,0.5,not_flagged_baseline,88,61,42,-4.443181818181818,-2.557377049180328,58.48973704978975,77.66758974836328,0.6931818181818182,0.4772727272727273,0.022727272727272707,0.14015151515151514,10.290710382513662,-2.9272606648645905
15,model_candidates,TE,18,17,12,19.444444444444443,6.411764705882353,96.3532290545973,85.3806013611865,0.9444444444444444,0.6666666666666666,not_flagged_baseline,46,32,24,0.32608695652173914,2.1875,55.368820184270945,69.1964974615283,0.6956521739130435,0.5217391304347826,0.14492753623188404,0.24879227053140096,4.224264705882353,16.18410389965821
15,model_candidates,WR,104,88,65,35.98076923076923,13.318181818181818,119.33621946734462,106.94438498996125,0.8461538461538461,0.625,not_flagged_baseline,99,65,46,-11.83838383838384,-0.676923076923077,59.99106552626115,96.16420809510197,0.6565656565656566,0.46464646464646464,0.16035353535353536,0.18958818958818957,13.995104895104895,10.78017689485928
20,model_candidates,QB,5,5,4,27.8,16.2,215.8958433706792,161.12086712848736,1.0,0.8,not_flagged_baseline,64,52,34,1.953125,1.5576923076923077,70.89045283287237,105.13205159069987,0.8125,0.53125,0.26875000000000004,0.1875,14.642307692307691,55.98881553778749
20,model_candidates,RB,28,24,14,29.821428571428573,7.333333333333333,101.72622567007569,76.99470482634183,0.8571428571428571,0.5,not_flagged_baseline,96,67,46,-2.65625,-1.492537313432836,59.47555653171304,76.59790942273011,0.6979166666666666,0.4791666666666667,0.020833333333333315,0.15922619047619047,8.82587064676617,0.39679540361171917
20,model_candidates,TE,8,7,5,23.0,9.142857142857142,110.29259400729008,90.40036200556207,0.875,0.625,not_flagged_baseline,56,42,31,3.232142857142857,2.738095238095238,60.69612677501597,72.2132287588129,0.75,0.5535714285714286,0.0714285714285714,0.125,6.404761904761904,18.18713324674917
20,model_candidates,WR,89,75,58,39.146067415730336,15.333333333333334,121.80625325463947,112.00863925324734,0.8426966292134831,0.651685393258427,not_flagged_baseline,114,78,53,-8.017543859649123,-0.28205128205128205,65.87127870211212,93.0914289910855,0.6842105263157895,0.4649122807017544,0.18677311255667262,0.1584861028976936,15.615384615384617,18.917210262161845
0,model_candidates,ALL,304,252,168,20.48355263157895,7.027777777777778,100.23172583410961,95.62370202906583,0.8289473684210527,0.5526315789473685,not_flagged_baseline,156,98,77,-15.692307692307692,-2.306122448979592,40.61165034331658,86.55886225914958,0.6282051282051282,0.4935897435897436,0.05904183535762486,0.20074224021592446,9.33390022675737,9.064839769916247
3,model_candidates,ALL,274,233,155,22.613138686131386,7.510729613733906,106.90658411245381,98.35975960458791,0.8503649635036497,0.5656934306569343,not_flagged_baseline,186,117,90,-12.994623655913978,-1.7521367521367521,40.39493580814173,82.58220021241253,0.6290322580645161,0.4838709677419355,0.08182246291499884,0.22133270543913353,9.262866365870657,15.777559392175377
5,model_candidates,ALL,252,215,146,24.273809523809526,8.418604651162791,109.5639180666855,99.43941759675903,0.8531746031746031,0.5793650793650794,not_flagged_baseline,208,135,99,-11.240384615384615,-1.962962962962963,44.21035939577867,82.96641947717076,0.6490384615384616,0.47596153846153844,0.10340354090354098,0.20413614163614158,10.381567614125755,16.47299811958827
10,model_candidates,ALL,214,183,124,27.350467289719628,8.885245901639344,115.48466976319159,101.3824005880432,0.8551401869158879,0.5794392523364486,not_flagged_baseline,246,167,121,-8.43089430894309,-0.48502994011976047,49.1550519422915,83.99378506053496,0.6788617886178862,0.491869918699187,0.08756933363726155,0.17627839829800174,9.370275841759105,17.388615527508236
15,model_candidates,ALL,171,148,104,31.228070175438596,11.236486486486486,117.20192674197196,102.6393570889958,0.8654970760233918,0.6081871345029239,not_flagged_baseline,289,202,141,-5.401384083044983,-0.5841584158415841,58.0080713987872,86.08572556212808,0.698961937716263,0.48788927335640137,0.12029786114652258,0.16653513830712874,11.82064490232807,16.55363152686772
20,model_candidates,ALL,130,111,81,35.707692307692305,13.252252252252251,120.39162174874421,105.2876372027669,0.8538461538461538,0.6230769230769231,not_flagged_baseline,330,239,164,-2.6151515151515152,0.30962343096234307,64.10591296906048,87.41846729378294,0.7242424242424242,0.49696969696969695,0.12610722610722613,0.12960372960372957,12.942628821289908,17.869169908983963
