season,player_name,team,position_final,production_score,player_surplus_gap,cap_number,next_team,next_production_score,next_player_surplus_gap,next_cap_number,appeared_next_year,remained_positive_surplus,improved_production,hit,review_group
2023,C.J. Stroud,HOU,QB,152.4024245822528,14.0,6.596226,HOU,30.878260371498136,-8.0,8.245283,True,False,False,False,model_misses
2022,Dawson Knox,BUF,TE,76.31416198347318,14.0,2.600545,,,,,False,False,False,False,model_misses
2022,Daniel Jones,NYG,QB,157.83464483283862,13.0,8.365836,,,,,False,False,False,False,model_misses
2022,Josh Jacobs,LV,RB,152.52678553527323,13.0,3.79699,LV,36.257753229205406,-43.0,11.791,True,False,False,False,model_misses
2023,T.J. Hockenson,MIN,TE,118.57288797302311,13.0,4.992,MIN,42.4577888110629,-20.0,7.021176,True,False,False,False,model_misses
2021,Mecole Hardman,KC,WR,74.14000685616628,13.0,1.362287,,,,,False,False,False,False,model_misses
2022,AJ Dillon,GB,RB,73.24950651034374,13.0,1.44159,GB,35.58375529085877,-15.0,1.681855,True,False,False,False,model_misses
2021,Bryan Edwards,LV,WR,61.55417236750472,13.0,1.066468,,,,,False,False,False,False,model_misses
2022,Pat Freiermuth,PIT,TE,67.2404478765043,12.0,1.370041,PIT,38.94455986729571,-8.0,1.644049,True,False,False,False,model_misses
2021,Leonard Fournette,TB,RB,117.87173587998092,11.0,3.25,TB,65.6243647291337,-12.0,3.970588,True,False,False,False,model_misses
2021,DJ Moore,CAR,WR,112.39921373477856,11.0,3.554509,CAR,102.78079357358482,-2.0,6.11,True,False,False,False,model_misses
2021,Najee Harris,PIT,RB,107.69480542631923,11.0,2.372262,PIT,77.17497500743913,-1.0,2.965328,True,False,False,False,model_misses
2023,D'Andre Swift,PHI,RB,83.88010618516229,11.0,1.774399,CHI,59.68350146748895,-26.0,5.803333,True,False,False,False,model_misses
2022,Noah Fant,SEA,TE,67.89036410652693,11.0,2.211918,SEA,40.42446957143257,-22.0,6.85,True,False,False,False,model_misses
2023,Zack Moss,IND,RB,61.98184885432485,11.0,1.16926,,,,,False,False,False,False,model_misses
2024,Isaac Guerendo,SF,RB,55.73659176119836,11.0,0.971132,,,,,False,False,False,False,model_misses
2024,Justin Fields,PIT,QB,54.53749674287588,11.0,3.233448,NYJ,34.48241896554301,-3.0,8.0,True,False,False,False,model_misses
2021,Albert Okwuegbunam,DEN,TE,44.349486835155986,11.0,0.910595,,,,,False,False,False,False,model_misses
2023,Trey Palmer,TB,WR,30.931122334854926,11.0,0.794824,,,,,False,False,False,False,model_misses
2024,Garrett Wilson,NYJ,WR,124.34425284838191,10.0,5.605638,NYJ,38.68487195184638,-48.0,7.032092,True,False,False,False,model_misses
2023,Kenneth Walker III,SEA,RB,86.63342706395197,10.0,1.918541,SEA,71.83380147468893,0.0,2.302249,True,False,False,False,model_misses
2024,Keon Coleman,BUF,WR,73.55104689672288,10.0,1.831683,BUF,54.09113741616928,-8.0,2.289604,True,False,False,False,model_misses
2021,Marquise Brown,BAL,WR,104.23399380024894,9.0,3.214729,ARI,57.69002415867354,-6.0,2.102364,True,False,False,False,model_misses
2021,Ty Johnson,NYJ,RB,46.01304652492484,9.0,0.85,,,,,False,False,False,False,model_misses
2022,Terry McLaurin,WAS,WR,145.1976252249737,8.0,7.329923,WAS,91.12223442338802,-21.0,11.025,True,False,False,False,model_misses
2024,Pat Freiermuth,PIT,TE,105.80123255502625,8.0,3.636033,PIT,69.85984086983305,-14.0,12.885,True,False,False,False,model_misses
2021,Darrell Henderson,LA,RB,65.31334067132045,8.0,1.151496,,,,,False,False,False,False,model_misses
2024,Tank Bigsby,JAX,RB,60.0595622658887,8.0,1.225663,PHI,32.35498175063985,-7.0,1.12414,True,False,False,False,model_misses
2024,Jerome Ford,CLE,RB,57.89474001050652,8.0,1.065537,CLE,6.6954936654644985,-27.0,1.830537,True,False,False,False,model_misses
2022,Kenny Pickett,PIT,QB,34.96128746359515,8.0,2.557801,PIT,-21.70137198958468,-6.0,3.197251,True,False,False,False,model_misses
2024,Aidan O'Connell,LV,QB,20.406929319244895,8.0,0.925678,,,,,False,False,False,False,model_misses
2023,Dalton Kincaid,BUF,TE,70.49950763116428,7.0,2.44128,BUF,54.206048939535464,-5.0,3.0516,True,False,False,False,model_misses
2024,Noah Gray,KC,TE,68.34238320583827,7.0,2.633445,,,,,False,False,False,False,model_misses
2021,Kyler Murray,ARI,QB,163.70262334349803,6.0,9.763721,ARI,55.93790406136307,-6.0,12.669481,True,False,False,False,model_misses
2024,Brian Robinson,WAS,RB,61.99297745721351,5.0,1.375883,SF,24.467669327342627,-24.0,1.906,True,False,False,False,model_misses
2023,Tutu Atwell,LA,WR,56.80858166968738,5.0,1.611463,LA,55.32186024480393,-15.0,1.88004,True,False,False,False,model_misses
2021,Boston Scott,PHI,RB,45.81454956653851,5.0,0.92,,,,,False,False,False,False,model_misses
2022,Ben Skowronek,LA,WR,28.885328774841035,5.0,0.846131,,,,,False,False,False,False,model_misses
