season,player_name,team,position_final,production_score,player_surplus_gap,player_surplus_rank,cap_number,draft_year,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,overall_confidence,review_group,watchlist_note
2025,Jalen Nailor,MIN,WR,52.39058400597847,9.0,30.0,1.145165,2022.0,6.0,191.0,3.0,rounds_6_7,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Woody Marks,HOU,RB,44.60120295525152,9.0,21.0,1.090942,2025.0,4.0,116.0,0.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Brock Purdy,SF,QB,134.59202882330524,8.0,7.0,9.119253,2022.0,7.0,262.0,3.0,rounds_6_7,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Josh Downs,IND,WR,61.83588007382251,8.0,32.0,1.505577,2023.0,3.0,79.0,2.0,round_3,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Tyler Shough,NO,QB,45.47311623842555,8.0,7.0,1.964496,2025.0,2.0,40.0,0.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Elic Ayomanor,TEN,WR,38.404296503543975,8.0,32.0,1.006454,2025.0,4.0,136.0,0.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Trevor Lawrence,JAX,QB,172.97147994854305,7.0,9.0,17.0,2021.0,1.0,1.0,4.0,round_1,possible_fifth_year_option,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Drake London,ATL,WR,108.730595332661,7.0,36.0,6.851878,2022.0,1.0,8.0,3.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Khalil Shakir,BUF,WR,73.59672388869093,7.0,36.0,2.586788,2022.0,5.0,148.0,3.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Tyler Allgeier,ATL,RB,49.22810069334861,7.0,23.0,1.183472,2022.0,5.0,151.0,3.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Dontayvion Wicks,GB,WR,45.052123921150574,6.0,39.0,1.105636,2023.0,5.0,159.0,2.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,C.J. Stroud,HOU,QB,122.81344646764003,5.0,12.0,9.894339,2023.0,1.0,2.0,2.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Jaylen Waddle,MIA,WR,116.76881092795584,5.0,41.0,8.020709,2021.0,1.0,6.0,4.0,round_1,possible_fifth_year_option,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
