threshold,group,position_final,players,appeared_next_year,hits,avg_surplus_gap,avg_next_surplus_gap,avg_production_score,avg_next_production_score,appearance_rate,hit_rate
10,not_flagged_baseline,WR,89,58,42,-14.460674157303371,-0.9827586206896551,56.25732156109282,94.10632408980807,0.651685393258427,0.47191011235955055
15,model_candidates,QB,13,13,9,21.307692307692307,11.538461538461538,191.17797229734953,160.44914418535808,1.0,0.6923076923076923
15,model_candidates,RB,36,30,18,26.97222222222222,7.733333333333333,94.74696903958535,74.7403290834987,0.8333333333333334,0.5
15,model_candidates,TE,18,17,12,19.444444444444443,6.411764705882353,96.3532290545973,85.3806013611865,0.9444444444444444,0.6666666666666666
15,model_candidates,WR,104,88,65,35.98076923076923,13.318181818181818,119.33621946734462,106.94438498996125,0.8461538461538461,0.625
15,not_flagged_baseline,QB,56,44,29,-0.23214285714285715,0.2727272727272727,55.91347425520864,95.15073054429944,0.7857142857142857,0.5178571428571429
15,not_flagged_baseline,RB,88,61,42,-4.443181818181818,-2.557377049180328,58.48973704978975,77.66758974836328,0.6931818181818182,0.4772727272727273
15,not_flagged_baseline,TE,46,32,24,0.32608695652173914,2.1875,55.368820184270945,69.1964974615283,0.6956521739130435,0.5217391304347826
15,not_flagged_baseline,WR,99,65,46,-11.83838383838384,-0.676923076923077,59.99106552626115,96.16420809510197,0.6565656565656566,0.46464646464646464
20,model_candidates,QB,5,5,4,27.8,16.2,215.8958433706792,161.12086712848736,1.0,0.8
20,model_candidates,RB,28,24,14,29.821428571428573,7.333333333333333,101.72622567007569,76.99470482634183,0.8571428571428571,0.5
20,model_candidates,TE,8,7,5,23.0,9.142857142857142,110.29259400729008,90.40036200556207,0.875,0.625
20,model_candidates,WR,89,75,58,39.146067415730336,15.333333333333334,121.80625325463947,112.00863925324734,0.8426966292134831,0.651685393258427
20,not_flagged_baseline,QB,64,52,34,1.953125,1.5576923076923077,70.89045283287237,105.13205159069987,0.8125,0.53125
20,not_flagged_baseline,RB,96,67,46,-2.65625,-1.492537313432836,59.47555653171304,76.59790942273011,0.6979166666666666,0.4791666666666667
20,not_flagged_baseline,TE,56,42,31,3.232142857142857,2.738095238095238,60.69612677501597,72.2132287588129,0.75,0.5535714285714286
20,not_flagged_baseline,WR,114,78,53,-8.017543859649123,-0.28205128205128205,65.87127870211212,93.0914289910855,0.6842105263157895,0.4649122807017544
0,model_candidates,ALL,304,252,168,20.48355263157895,7.027777777777778,100.23172583410961,95.62370202906583,0.8289473684210527,0.5526315789473685
0,not_flagged_baseline,ALL,156,98,77,-15.692307692307692,-2.306122448979592,40.61165034331658,86.55886225914958,0.6282051282051282,0.4935897435897436
3,model_candidates,ALL,274,233,155,22.613138686131386,7.510729613733906,106.90658411245381,98.35975960458791,0.8503649635036497,0.5656934306569343
3,not_flagged_baseline,ALL,186,117,90,-12.994623655913978,-1.7521367521367521,40.39493580814173,82.58220021241253,0.6290322580645161,0.4838709677419355
5,model_candidates,ALL,252,215,146,24.273809523809526,8.418604651162791,109.5639180666855,99.43941759675903,0.8531746031746031,0.5793650793650794
5,not_flagged_baseline,ALL,208,135,99,-11.240384615384615,-1.962962962962963,44.21035939577867,82.96641947717076,0.6490384615384616,0.47596153846153844
10,model_candidates,ALL,214,183,124,27.350467289719628,8.885245901639344,115.48466976319159,101.3824005880432,0.8551401869158879,0.5794392523364486
10,not_flagged_baseline,ALL,246,167,121,-8.43089430894309,-0.48502994011976047,49.1550519422915,83.99378506053496,0.6788617886178862,0.491869918699187
15,model_candidates,ALL,171,148,104,31.228070175438596,11.236486486486486,117.20192674197196,102.6393570889958,0.8654970760233918,0.6081871345029239
15,not_flagged_baseline,ALL,289,202,141,-5.401384083044983,-0.5841584158415841,58.0080713987872,86.08572556212808,0.698961937716263,0.48788927335640137
20,model_candidates,ALL,130,111,81,35.707692307692305,13.252252252252251,120.39162174874421,105.2876372027669,0.8538461538461538,0.6230769230769231
20,not_flagged_baseline,ALL,330,239,164,-2.6151515151515152,0.30962343096234307,64.10591296906048,87.41846729378294,0.7242424242424242,0.49696969696969695
