season,player_name,team,position_final,cap_number,production_score,total_epa,production_rank_position,cost_rank_position,player_surplus_gap,player_value_tier
2025,RJ Harvey,DEN,RB,1.338122,88.27971956746576,-4.270280432534236,18.0,40.0,22.0,Major bargain
2025,Bo Nix,DEN,QB,4.230265,165.88789432636088,71.27789432636088,9.0,31.0,22.0,Major bargain
2021,Dalton Schultz,DAL,TE,2.296089,130.24208383688972,46.342083836889714,3.0,25.0,22.0,Major bargain
2022,Miles Sanders,PHI,RB,1.705528,106.76362264232895,1.4136226423289635,8.0,30.0,22.0,Major bargain
2023,Sam LaPorta,DET,TE,1.72109,136.7160848685558,40.566084868555805,2.0,24.0,22.0,Major bargain
2022,Christian McCaffrey,CAR,RB,0.0,47.882031814068455,-2.8679681859315465,41.0,62.0,21.0,Major bargain
2024,Isaiah Likely,BAL,TE,1.111084,80.05649973336767,27.70649973336768,13.0,33.5,20.5,Major bargain
2022,Juwan Johnson,NO,TE,0.895,72.67230264662176,15.772302646621752,9.0,29.0,20.0,Major bargain
2025,Cam Skattebo,NYG,RB,0.913816,49.101339092737064,-8.74866090726294,37.0,57.0,20.0,Major bargain
2022,Geno Smith,SEA,QB,3.5,118.8373940963122,28.217394096312184,11.0,31.0,20.0,Major bargain
2025,Oronde Gadsden II,LAC,TE,0.933509,70.96505532409869,16.515055324098682,19.0,39.0,20.0,Major bargain
2022,Jaylen Warren,PIT,RB,0.709,58.651363331154016,19.001363331154018,33.0,53.0,20.0,Major bargain
2024,Jayden Daniels,WAS,QB,6.863027,237.85312303366936,119.37312303366934,5.0,25.0,20.0,Major bargain
2023,Jake Browning,CIN,QB,0.75,69.3947410056463,30.78474100564628,19.0,39.0,20.0,Major bargain
2023,Baker Mayfield,TB,QB,1.7,112.93153130343006,35.34153130343005,12.0,31.0,19.0,Strong bargain
2021,Pat Freiermuth,PIT,TE,1.096033,86.60093384163108,25.75093384163108,10.0,29.0,19.0,Strong bargain
2023,Jordan Love,GB,QB,4.409271,181.1210235839656,80.6810235839656,6.0,25.0,19.0,Strong bargain
2021,Mark Andrews,BAL,TE,3.161776,176.77933045672432,54.979330456724334,1.0,20.0,19.0,Strong bargain
2025,Kenneth Gainwell,PIT,RB,1.79,96.67604635197708,3.2760463519770933,16.0,35.0,19.0,Strong bargain
2023,Jalen Hurts,PHI,QB,6.154286,204.50331606003232,83.6733160600323,4.0,23.0,19.0,Strong bargain
2024,Sam LaPorta,DET,TE,2.151363,103.72335684760657,31.423356847606563,8.0,26.0,18.0,Strong bargain
2025,Kimani Vidal,LAC,RB,0.693333,41.599666600415354,-13.350333399584644,43.0,61.0,18.0,Strong bargain
2024,Bo Nix,DEN,QB,3.384212,162.99112588729403,60.39112588729404,12.0,30.0,18.0,Strong bargain
2024,Baker Mayfield,TB,QB,6.9,235.08266119867537,122.18266119867536,6.0,24.0,18.0,Strong bargain
2025,Tucker Kraft,GB,TE,1.510345,89.04276139789144,38.442761397891445,14.0,32.0,18.0,Strong bargain
2022,Brock Purdy,SF,QB,0.724253,58.72111877245214,26.08111877245213,21.0,39.0,18.0,Strong bargain
2025,Jaxson Dart,NYG,QB,3.086898,126.86347932671816,41.54347932671816,14.0,32.0,18.0,Strong bargain
2025,Kyren Williams,LA,RB,2.465102,138.11627437536984,13.466274375369832,8.0,26.0,18.0,Strong bargain
2021,Justin Herbert,LAC,QB,6.040626,246.25680279020617,133.76680279020613,5.0,23.0,18.0,Strong bargain
2024,Ray Davis,BUF,RB,0.973297,63.09255964158979,9.292559641589785,28.0,46.0,18.0,Strong bargain
2024,Tyrone Tracy Jr.,NYG,RB,0.866588,57.06648294605375,-26.583517053946256,35.0,52.0,17.0,Strong bargain
2023,Trey McBride,ARI,TE,1.431741,80.3028204253265,9.802820425326502,11.0,28.0,17.0,Strong bargain
2025,Colston Loveland,CHI,TE,4.84291,114.68358338262718,46.63358338262719,3.0,20.0,17.0,Strong bargain
2024,Rico Dowdle,DAL,RB,1.255,84.93680698785693,-6.213193012143076,18.0,35.0,17.0,Strong bargain
