season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier,draft_year,draft_team,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,surplus_context
2025,NYG,00-0039384,Tyrone Tracy Jr.,RB,RB,0,0,0,0,740,2,36,288,2,48,0.0,-9.786288919902209,0.0405658570330427,-9.745723062869166,62.65427693713083,Tyrone Tracy Jr.,RB,1.031588,0.96,0.96,,True,False,RB,True,normal_sample,contract_matched,high,30.0,54.0,24.0,5.0,Major bargain,2024,NYG,5,166,1,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,CHI,00-0040735,Luther Burden III,WR,WR,0,0,0,0,37,0,47,652,2,60,0.0,2.287499334954191,30.07064408043516,32.35814341538935,84.55814341538935,Luther Burden,WR,1.993461,5.453844,0.84,0.84,True,False,WR,True,normal_sample,contract_matched,high,35.0,58.0,23.0,18.0,Major bargain,2025,CHI,2,39,0,round_2,rookie_contract,True,rookie_contract_surplus
2025,DEN,00-0039732,Bo Nix,QB,QB,3931,25,11,22,356,5,0,0,0,1,63.32275760694129,8.413744388815456,-0.4586076693958603,71.27789432636088,165.88789432636088,Bo Nix,QB,4.230265,1.641053,0.96,1.641053,True,False,QB,True,normal_sample,contract_matched,high,9.0,31.0,22.0,2.0,Major bargain,2024,DEN,1,12,1,round_1,rookie_contract,True,rookie_contract_surplus
2025,DEN,00-0040730,RJ Harvey,RB,RB,0,0,0,0,540,7,47,356,5,58,-0.4586076693958603,-22.887165030931452,19.075492267793077,-4.270280432534236,88.27971956746576,R.J. Harvey,RB,1.338122,2.832488,0.84,0.84,True,False,RB,True,normal_sample,contract_matched,high,18.0,40.0,22.0,6.0,Major bargain,2025,DEN,2,60,0,round_2,rookie_contract,True,rookie_contract_surplus
2025,NO,00-0037239,Chris Olave,WR,WR,0,0,1,0,-3,0,100,1163,9,156,-3.5951321736210957,-1.253101927228272,35.62936226270581,30.781128161856444,138.78112816185646,Chris Olave,WR,6.131959,3.332982,1.49994,3.332982,True,False,WR,True,normal_sample,contract_matched,high,9.0,30.0,21.0,19.0,Major bargain,2022,NOR,1,11,3,round_1,rookie_contract,True,rookie_contract_surplus
2025,LAC,00-0040189,Oronde Gadsden II,TE,TE,0,0,0,0,0,0,49,664,3,69,0.0,0.0,16.515055324098682,16.515055324098682,70.96505532409869,Oronde Gadsden II,TE,0.933509,1.214036,0.84,,True,False,TE,True,normal_sample,contract_matched,high,19.0,39.0,20.0,2.0,Major bargain,2025,LAC,5,165,0,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,NYG,00-0040715,Cam Skattebo,RB,RB,0,0,0,0,410,5,24,207,2,32,0.0,-12.09682665153826,3.3481657442753203,-8.74866090726294,49.101339092737064,Cam Skattebo,RB,0.913816,1.718596,0.84,,True,False,RB,True,normal_sample,contract_matched,high,37.0,57.0,20.0,7.0,Major bargain,2025,NYG,4,105,0,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,LA,00-0037840,Kyren Williams,RB,RB,0,0,0,0,1252,10,36,281,3,50,0.0,4.9275993898939525,8.538674985475879,13.466274375369832,138.11627437536984,Kyren Williams,RB,2.465102,6.25,1.1,1.1,True,False,RB,True,normal_sample,contract_matched,high,8.0,26.0,18.0,9.5,Strong bargain,2022,LAR,5,164,3,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,NYG,00-0040691,Jaxson Dart,QB,QB,2272,15,5,35,487,9,0,0,0,0,3.4194322537895676,38.1240470729286,0.0,41.54347932671816,126.86347932671816,Jaxson Dart,QB,3.086898,9.827592,0.84,0.84,True,False,QB,True,normal_sample,contract_matched,high,14.0,32.0,18.0,3.0,Strong bargain,2025,NYG,1,25,0,round_1,rookie_contract,True,rookie_contract_surplus
2025,GB,00-0037816,Romeo Doubs,WR,WR,0,0,0,0,0,0,55,724,6,85,0.0,0.0,34.645472560090084,34.645472560090084,102.59547256009007,Romeo Doubs,WR,3.576979,3.406,3.406,0.0,True,False,WR,True,normal_sample,contract_matched,high,25.0,43.0,18.0,20.5,Strong bargain,2022,GNB,4,132,3,rounds_4_5,rookie_contract,True,rookie_contract_surplus
