season,position_final,draft_capital_bucket,players,avg_surplus_gap,avg_cap_number,avg_production_score
2025,TE,undrafted_or_unmatched,2,10.0,3.1375,80.14123572434814
2025,TE,rounds_4_5,10,6.3,4.5961336,75.45785965069248
2025,TE,round_1,9,-3.0,7.162735555555555,71.72806384426283
2025,TE,round_2,11,-3.0,7.1729757272727275,77.44350768067369
2025,TE,round_3,7,-3.2857142857142856,8.789952571428572,68.85556060606338
2025,WR,rounds_6_7,10,20.3,1.8404695,64.98516728583773
2025,WR,rounds_4_5,13,3.5384615384615383,4.369825076923077,92.55584078540674
2025,WR,round_2,25,0.8,5.8401219200000005,80.4994771397799
2025,WR,undrafted_or_unmatched,5,-2.2,2.0298666,45.15611198288789
2025,WR,round_3,9,-3.7777777777777777,6.5800441111111105,80.76257695295574
2025,WR,round_1,27,-9.11111111111111,8.234046814814816,92.72033121369917
